Model,Accuracy,Precision,Recall,F1
XGBoost,0.9878715034965035,0.9928873082907312,0.982622085349758,0.9877280265339967
LinearSVC,0.9859047202797203,0.9854913167729171,0.9861416630004399,0.9858163826278175
LogisticRegression,0.978583916083916,0.9801324503311258,0.9766827980642323,0.9784045835169678
MultinomialNB,0.9217657342657343,0.9284116331096197,0.9128904531456226,0.9205856255545697
